propertiesid,property_type,property_status,availability,country,division,city,current_zones,zone,price,interior_area,gros_area,bedrooms,bathrooms,other_rooms,year_of_construction,year_of_renovation,closed_price
54385,Apartment,New,Withdrawn,Albania,Tirana,Tirana,"Rruga e Dibres","Rruga e Dibres",102090,0,123,2,3,NULL,NULL,NULL,NULL
54381,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,"Rruga e Dibres","Rruga e Dibres",85490,0,103,2,2,NULL,NULL,NULL,NULL
54369,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,Blloku,Blloku,38500,0,31,1,1,NULL,NULL,NULL,NULL
54366,Apartment,Used,Sold,Albania,Tirana,Tirana,"Unaza e re","Unaza e re",46000,0,65,1,1,NULL,NULL,NULL,NULL
54363,Apartment,New,Withdrawn,Albania,Tirana,Tirana,"Don Bosko","Don Bosko",94000,0,105,2,2,NULL,NULL,NULL,NULL
54246,Apartment,New,Withdrawn,Albania,Tirana,Tirana,Fresku,Fresku,60000,0,104,2,1,NULL,NULL,NULL,NULL
54242,Apartment,Used,Sold,Albania,Tirana,Tirana,"Zogu I Zi","Zogu I Zi",118000,0,127,3,2,NULL,NULL,NULL,NULL
54178,Apartment,New,Withdrawn,Albania,Tirana,Tirana,"Garden Residence Turdiu","Garden Residence Turdiu",95200,0,119,2,2,NULL,NULL,NULL,NULL
54164,Apartment,Used,Sold,Albania,Tirana,Tirana,"Unaza e re","Unaza e re",80000,0,106,2,2,NULL,NULL,NULL,NULL
54161,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,"Liqeni i Thate","Liqeni i Thate",175000,0,123,2,1,NULL,NULL,NULL,NULL
54156,Apartment,Used,Reserved,Albania,Tirana,Tirana,"Unaza e re","Unaza e re",82000,0,130,2,2,NULL,NULL,NULL,NULL
54116,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,"Myslym Shyri","Myslym Shyri",85000,0,75,2,1,NULL,NULL,NULL,NULL
53977,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,"Myslym Shyri","Myslym Shyri",88000,0,72,1,1,NULL,NULL,NULL,NULL
53953,Apartment,Used,Sold,Albania,Tirana,Tirana,Yzberisht,Yzberisht,47000,0,67,1,1,NULL,NULL,NULL,NULL
53917,Apartment,Used,"In evaluation",Albania,Tirana,Tirana,Yzberisht,Yzberisht,150000,0,211,4,2,NULL,NULL,NULL,NULL
53883,Apartment,New,Withdrawn,Albania,Tirana,Tirana,"Rruga Kongresi Manastirit","Rruga Kongresi Manastirit",85000,0,100,2,2,NULL,NULL,NULL,NULL
53880,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,"Myslym Shyri","Myslym Shyri",97000,0,81,1,1,NULL,NULL,NULL,NULL
53878,Apartment,New,Withdrawn,Albania,Tirana,Tirana,"Rruga Kongresi Manastirit","Rruga Kongresi Manastirit",82110,0,96,2,2,NULL,NULL,NULL,NULL
53871,Apartment,New,Withdrawn,Albania,Tirana,Tirana,"Rruga Kongresi Manastirit","Rruga Kongresi Manastirit",74366,0,87,0,0,NULL,NULL,NULL,NULL
